key,comment,en,fr-fr,it,de,es,pt-br,ru,zh-cn,zh-tw,ko,jp,nl,cat,tok,sl
LOK4_TEXT_CONTROLLER,For controller; {b} will be a button prompt and can be replaced with other glyphs,You can undo at any time by pressing {b}.,Revenez en arrière à chaque instant en appuyant sur {b}.,Puoi annullare in qualsiasi momento premendo {b}.,"Du kannst jederzeit rückgängig machen, indem du {b} drückst.",Puedes deshacer cuando quieras pulsando {b}.,É possível desfazer a qualquer momento ao pressionar {b}.,"Вы можете отменять ходы в любое время, нажав {b}.",随时可以按{b}回到前一步。,你可以隨時按{b}回上一步。,언제든지 {b}를 눌러 이동을 되돌릴 수 있습니다.,{b}を押すと動作をいつでも取り消すことができます。,Je kan altijd een zet ongedaan maken door op {b} te drukken.,Pots desfer moviments en qualsevol moment prement {b}.,nena {b} la sina ken weka e pali pini nanpa wan.,Lahko greste en korak nazaj s klikom na {b}.
LOK5_TEXT,"""Adjacency of tiles can change"" means that tiles that the game considers to be bordering each other will change over time to skip over tiles that have already been blacked out. This is a core puzzle mechanic, but ""figure out how"" is specifically meant to be vague as the player is intended to discover this.",<i>Adjacency</i> of tiles can change throughout<br>solving a puzzle. Figure out how.,La <i>contiguïté</i> des tuiles peut évoluer pendant que vous résolvez le niveau. Vous allez voir.,La <i>contiguità</i> delle tessere può variare durante la risoluzione di un rompicapo. Scopri come.,<i>Die Angrenzung</i> der Kacheln kann sich während des<br>Lösens eines Rätsels ändern. Finde heraus wie.,La <i>adyacencia</i> de las casillas puede cambiar<br>al resolver un puzle. Averigua cómo.,A <i>adjacência</i> de espaços pode mudar enquanto<br>você soluciona o puzzle. Descubra como.,<i>Соседство</i> плиток может меняться во время <br>решения задачки. Поймите как именно.,破解谜题的过程中，方块<b>邻接关系</b>的标准有可能发生改变。<br>试一试，看看是怎么回事。,方塊的<b>鄰接次序</b>可能會隨著你的解謎方式而改變。<br>試試看就知道了！,<i>인접</i>한 타일들은 퍼즐을 푸는 과정에서 변경될 수 있습니다. 그럼 어떻게 풀어볼지 고민해봅시다.,パズルを解くごとに<i>となり合う</i>タイルが変わります。どういうことかちょっと考えてみましょう。,Hoe tegels aan elkaar <i>grenzen</i> kan veranderen tijdens het oplossen van een puzzel. Ontdek hoe.,L'<i>adjacència</i> de les caselles pot canviar<br>durant la resolució d'un puzzle. Descobreix-ne com.,ma lili wan la ma seme li <i>poka</i>? sina pali la ni li ken ante a. o kama sona e nasin ni.,"<i>Sosednjost</i> kvadratkov se lahko spreminja med<br>reševanjem uganke. Ugotovite, kako."
LOK_STAR_WARNING,"Starred puzzles meaning puzzles that have a star icon next to them on the level select screen. ""You can save them for later"" means that they are not required for progression.",Starred puzzles are advanced puzzles. <br>You can save them for later.,Les niveaux à étoile sont d'une difficulté avancée.<br>Vous pouvez les réserver pour plus tard.,I rompicapi contrassegnati da una stella sono più avanzati. <br>Puoi conservarli per dopo.,Rätsel mit Sternchen sind fortgeschrittene Rätsel. <br>Du kannst sie dir für später aufheben.,Los puzles con una estrella son avanzados.<br>Puedes esperar y resolverlos más tarde.,Puzzles com estrela são puzzles avançados.<br>É possível salvá-los para mais tarde.,Задачки со звездочкой — посложнее.<br>Их можно решить позже.,星标关卡是进阶关卡。<br>可以之后再来。,標註星號的是進階關卡。<br>你可以選擇之後再來挑戰。,별이 붙어있는 퍼즐들은 조금 더 어려운 퍼즐들입니다. <Br>나중에 플레이해도 괜찮습니다.,星のついたパズルはもっとむずかしいパズルです。<br>あとでチャレンジするのもいいでしょう。,Met sterren gemarkeerde puzzels zijn voor gevorderden. <br>Je kan ze bewaren voor later.,Els puzzles amb una estrella són puzzles avançats. <br>Pots deixar-los per més endavant.,"ma musi pi sitelen mun lili li wile e utala wawa. <br>sina wile ala pini e ona lon tenpo ni, li ken alasa lon tenpo kama.",Uganke z zvezdo so napredne uganke. <br>Brez problema jih preskočite - vedno se lahko še vrnete k njim.
TLAK1_TEXT,TLAK is a keyword form the game and should be kept uppercase and in latin alphabet and never changed. It's important that the word used here for adjacent is the same one used in LOK5_TEXT,Learn a new keyword: <b>TLAK</b><br>It makes you black out two <i>adjacent</i> tiles.,Voici un nouveau mot-clé : <b>TLAK</b><br>Il vous fera noircir deux tuiles <i>adjacentes</i>.,Impara una nuova parola chiave: <b>TLAK</b><br>Ti farà annerire due tessere <i>adiacenti</i>.,Lerne ein neues Schlüsselwort: <b>TLAK</b><br>Damit kannst du zwei <i>angrenzende</i> Kacheln verdunkeln.,Aprende un palabra clave nueva: <b>TLAK</b>.<br>Hace que oscurezcas dos casillas <i>adyacentes</i>.,Aprenda uma nova palavra-chave: <b>TLAK</b><br>Ela permite que você escureça dois espaços <i>adjacentes</i>.,Выучите новое ключевое слово: <b>TLAK</b><br>С его помощью можно зачернить две <i>соседствующие</i> плитки.,学个生词：“<b>TLAK</b>”<br>这个词可以把彼此邻接的两个方块涂黑。,來學習新的關鍵字吧！<br>「<b>TLAK</b>」可以將兩個鄰接方塊塗黑。,새로운 키워드 <b>TLAK</b>에 대해 알아봅시다.<br>이 키워드를 사용하면 <i>인접한</i> 2개의 타일들을 지워낼 수 있습니다.,新しいキーワード：<b>TLAK</b><br>2つの<i>となり合う</i>タイルを黒くぬりつぶすことができます。,Leer een nieuw sleutelwoord: <b>TLAK</b><br>Hiermee kan je twee tegels die aan elkaar <i>grenzen</i> zwart maken.,Aprèn una nova paraula clau: <b>TLAK</b><br>Et fa pintar de negre dues caselles <i>adjacents</i> entre si.,o kama sona e nimi sin: <b>TLAK</b><br>ona la sina pimeja e ma tu ni: ona li <i>poka</i>.,"Naučite se nove ključne besede: <b>TLAK</b><br>Z njo počrnite dva kvadratka, ki sta si <i>sosednja</i>."
HINTS_DICT_TEXT,"Hints give you the words in order that constitute the solution of the level, but not where or how to use them. Dictionary is just a list of all the keywords the player has discovered so far.",You can check hints and the dictionary<br>by clicking the top-right corner icons.,Vous pouvez consulter les astuces et le dictionnaire<br>en cliquant sur les icônes en haut à droite de l'écran.,Puoi consultare i suggerimenti e il dizionario<br>cliccando sulle icone in alto a destra.,"Du kannst Hinweise und das Wörterbuch<br>überprüfen, indem du auf die Symbole in der oberen rechten Ecke klickst.",Puedes mirar las pistas y el diccionario<br>pulsando en los iconos de la parte superior derecha de la pantalla.,É possível conferir dicas e o dicionário<br>ao clicar nos ícones no canto superior direito.,"Подсказки можно смотреть в словаре,<br>нажав на иконку в правом верхнем углу.",点击右上角的灯泡可以查看提示，<br>点击书本可以查看单词。,點擊畫面右上方的燈泡圖示可查看提示，<br>點擊書本圖示則可查看關鍵字。,오른쪽 상단의 아이콘을 클릭해<br>힌트와 사전을 확인할 수 있습니다.,画面右上のアイコンをクリックして<br>ヒントと辞典を見ることができます。,Je kan hints en het woordenboek<br>bekijken door op de icoontjes rechtsboven te klikken.,Pots revisar les pistes i el diccionari<br>clicant els icons de la cantonada superior dreta.,"lon sewi lon poka pini la,<br>sina ken ala sona e nasin pali la nena wan li pana lili e sona.<br>nena wan li pana e ni: sina sona e nimi seme.",Namige in slovar lahko preverite<br>s klikom na ikone v zgornje-desnem kotu.
HINTS_DICT_TEXT_MOBILE,"Hints give you the words in order that constitute the solution of the level, but not where or how to use them. Dictionary is just a list of all the keywords the player has discovered so far.",You can check hints and the dictionary<br>by tapping the top-right corner icons.,Vous pouvez consulter les astuces et le dictionnaire<br>en appuyant sur les icônes en haut à droite de l'écran.,Puoi consultare i suggerimenti e il dizionario<br>toccando le icone in alto a destra.,"Du kannst Hinweise und das Wörterbuch<br>überprüfen, indem du auf die Symbole in der oberen rechten Ecke tippst.",Puedes mirar las pistas y el diccionario<br>tocando los iconos de la parte superior derecha de la pantalla.,É possível conferir dicas e o dicionário<br>ao tocar nos ícones no canto superior direito.,"Подсказки можно смотреть в словаре,<br>тапнув на иконку в правом верхнем углу.",轻按右上角的灯泡可以查看提示，<br>轻按书本可以查看单词。,點按畫面右上方的燈泡圖示可查看提示，<br>點按書本圖示則可查看關鍵字。,오른쪽 상단의 아이콘을 가볍게 눌러<br>힌트와 사전을 확인할 수 있습니다.,画面右上のアイコンをタップして<br>ヒントと辞典を見ることができます。,Je kan hints en het woordenboek<br>bekijken door op de icoontjes rechtsboven te tikken.,Pots revisar les pistes i el diccionari<br>tocant els icons de la cantonada superior dreta.,"lon sewi lon poka pini la, sina ken ala sona e nasin pali la nena wan li pana lili e sona.<br>nena wan li pana e ni: sina sona e nimi seme.",Namige in slovar lahko preverite<br>s klikom na ikone v zgornje-desnem kotu.
HINTS_DICT_TEXT_CONTROLLER,"Hints give you the words in order that constitute the solution of the level, but not where or how to use them. Dictionary is just a list of all the keywords the player has discovered so far.",You can check hints and the dictionary<br>by pressing {LB} and {RB}.,Vous pouvez consulter les astuces et le dictionnaire<br>en pressant {LB} et {RB}.,Puoi consultare i suggerimenti e il dizionario<br>premendo {LB} e {RB}.,"Du kannst Hinweise und das Wörterbuch<br>überprüfen, indem du {LB} und {RB} drückst.",Puedes mirar las pistas y el diccionario<br>pulsando {LB} y {RB}.,É possível conferir dicas e o dicionário<br>ao pressionar {LB} e {RB}.,"Подсказки можно смотреть в словаре,<br>нажав {LB} и {RB}.",按{LB}可以查看提示，<br>按{RB}可以查看单词。,按{LB}可查看提示，<br>按{RB}則可查看關鍵字。,{LB} 와 {RB} 버튼을 동시에눌러<br>힌트와 사전을 확인할 수 있습니다.,{LB}と{RB}を押して<br>ヒントと辞典を見ることができます。,Je kan hints en het woordenboek<br>bekijken door op {LB} en {RB} te drukken.,Pots revisar les pistes i el diccionari<br>prement els botons {LB} i {RB}.,sina ken ala sona e nasin pali la nena {LB} li pana lili e sona.<br>nena {RB} li pana e ni: sina sona e nimi seme.,Namige in slovar lahko preverite<br>s pritiskom na L1 in R1.
TA1_TEXT,"This is the first time the player is given a level where a new keyord appears, but they're not told what it is, so the ""Trust the learning process"" should invite them to experiment and make their own conclusions.",Learn a new keyword.<br>Trust the learning process.,Vous allez découvrir un nouveau mot-clé.<br>Faites confiance au jeu.,Impara una nuova parola chiave.<br>Confida nel processo di apprendimento.,Lerne ein neues Schlüsselwort.<br>Vertraue dem Lernprozess.,Aprende una palabra clave nueva.<br>Confía en el proceso de aprendizaje.,Aprenda uma palavra-chave nova.<br>Confie no processo de aprendizagem.,Выучите новое ключевое слово.<br>Учитесь и экспериментируйте.,学个生词。<br>摸索一下，相信自己。,學習新的關鍵字。<br>多加嘗試，相信自己的直覺吧。,새로운 키워드를 익혀봅시다.<br>배움의 과정을 믿어보세요.,新しいキーワード。<br>今まで学んできたものを信じてこれが何か考えてみましょう。,Leer een nieuw sleutelwoord.<br>Vertrouw het leerproces.,Aprèn una nova paraula clau. <br>Confia en el procés d'aprenentatge.,o kama sona e nimi sin.<br>sina alasa la sona li kama lon sina.,Naučite se nove ključne besede.<br>Zaupajte učnemu procesu.
X1_TEXT,Conductor as in something that conveys electricity. This is intentionally vague and poetic and not really descriptive.,Tiles with the letter <b>X</b> are conductors.,Les tuiles qui comportent la lettre <b>X</b> sont conductrices.,Le tessere con la lettera <b>X</b> sono conduttrici.,Kacheln mit dem Buchstaben <b>X</b> sind Leiter.,Las casillas con la letra <b>X</b> son conductoras.,Espaços com a letra <b>X</b> são condutores.,Плитки с буквой <b>X</b> — проводники.,“<b>X</b>”的方块是导体，可以传导。,「<b>X</b>」的方塊是導體，可以傳導。,<b>X</b> 문자가 새겨진 타일들은 전도체의 역할을 합니다.,<b>X</b>のタイルは接続を助けるいわゆる「コンダクター」です。,Tegels met de letter <b>X</b> zijn geleiders.,Les caselles amb una <b>X</b> són conductors.,ma pi sitelen <b>X</b> li nasin.,Kvadratki s črko <b>X</b> so prevodniki.
BE1_TEXT,,Learn a new keyword.,Vous allez découvrir un nouveau mot-clé.,Impara una nuova parola chiave.,Lerne ein neues Schlüsselwort.,Aprende una palabra clave nueva.,Aprenda uma palavra-chave nova.,Выучите новое ключевое слово.,学个生词。,學習新的關鍵字。,새로운 키워드를 배워봅시다.,新しいキーワード。,Leer een nieuw sleutelwoord.,Aprèn una nova paraula clau.,o kama sona e nimi sin.,Naučite se nove ključne besede.
GAPS1_TEXT,,There is a rule that wasn't obvious before.<br>Look at the hint if needed.,"Il y a une règle qui n'était pas évidente avant.<br>Si besoin, consultez l'astuce.","C'è una regola che prima non risultava così evidente.<br>Se necessario, consulta il suggerimento.","Es gibt eine Regel, die vorher nicht offensichtlich war.<br>Schau dir bei Bedarf den Hinweis an.",Hay una regla que antes no era obvia.<br>Mira las pistas si lo necesitas.,Há uma regra que não era óbvia antes.<br>Consulte a dica se necessário.,"Есть одно неочевидное правило.<br>Если нужно, загляните в подсказки.",有条规则之前没有明说。<br>卡关的话就看看提示吧。,有條規則先前並未明述。<br>覺得卡關的話就看看提示吧。,이전에 정의되지 않은 규칙이 있습니다.<br>필요하다면 힌트를 확인해 보세요,ここには今までであまり見られなかったルールがあります。<br>もし必要ならヒントを見てみましょう。,Er is een regel die eerder nog niet duidelijk was.<br>Bekijk de hint als je die nodig hebt.,Fes-te conscient d'una regla que no ha estat rellevant fins ara.<br>Fes ús de a pista si et cal.,"lawa wan li suli ala lon ma pini ale, li len tawa sona sina.<br>sina ken ala sona la o lukin e pana sona lili.","Obstaja pravilo, ki do zdaj še ni bilo očitno.<br>Če je potrebno, si oglejte namig."
GRIVA1_TEXT,GRIVA is a keyword form the game and should be kept uppercase and in latin alphabet and never translated.,Learn the last keyword: <b>GRIVA</b>.,Voici le dernier mot-clé : <b>GRIVA</b>,Impara l'ultima parola chiave: <b>GRIVA</b>.,Lerne das letzte Schlüsselwort: <b>GRIVA</b>.,Aprende la última palabra clave: <br>GRIVA</b>.,Aprenda a última palavra-chave: <b>GRIVA</b>.,Выучите последнее ключевое слово: <b>GRIVA</b>.,再学最后一个词：<b>GRIVA</b>。,學習最後一個關鍵字：「<b>GRIVA</b>」。,새로운 키워드 <b>GRIVA</b>에 대해 알아봅시다.,新しいキーワード：<b>GRIVA</b>,Leer het laatste sleutelwoord: <b>GRIVA</b>.,Aprèn l'última paraula clau: <b>GRIVA</b>.,o kama sona e nimi pini: <b>GRIVA</b>.,Naučite se zadnje ključne besede: <b>GRIVA</b>.
