WORLD,LEVEL,ADVANCED,OLKO,Text,Text Gamepad,Text Mobile,Level,Hints,requiresNewsletter,NAME,DUDS
3,9,,,,,,"6
5
--TL--
--LO--
TLTAAK
--AK--
--K---","TA
TA
TA",*,Just TA trickery,
3,10,,,,,,"5
3
TA---
TLAOK
ALOKA","LOK
LOK
TA",*,(Raindrinker) TA logic,
3,11,,,,,,"8
3
TTLAKLAK
--LOK---
--TLAK--","TLAK
TA
TA",*,Hidden TAs,
3,12,*,,,,,"10
3
U---------
LOKALATTKO
IUI-------","TA
TLAK
LOK",,Very Simple,
3,13,*,,,,,"6
4
TALK--
LOCK--
CLOCK-
ATTACK","TA
LOK
TA
TA",,(Raindrinker) TALK LOCK CLOCK ATTACK,
3,14,*,,,,,"5
6
MJKKJ
LOTAK
-DAAD
--LLJ
--TTD
--M--","TA
LOK
TLAK
TLAK",,JDM,
,,,,,,,,,,,
4,1,,,X1_TEXT,,,"4
1
LOXK",LOK,,Tutorial,
4,2,,,,,,"3
2
TLX
KAX",TLAK,,Turn tutorial,
4,3,,,,,,"5
3
L-K--
XOXOK
--L--","LOK
LOK",,Lok X,
4,4,,,,,,"6
3
--TX--
XK#L#T
AXAX--","TLAK
TA",,Donut,
4,5,,,,,,"5
5
----K
-TAKA
X##AX
LTLX-
T----","TLAK
TLAK
TA",,Tlak tlak ta,
4,6,,,,,,"7
6
-XX----
-OX----
T#X----
L#XOX#A
-LXKXOK
-LK----","LOK
LOK
LOK
TA",,Simple but big,
4,7,,*,,,,"7
4
--XLX--
--O-K--
XLXAXK-
T---AOT","TLAK
LOK
TA",,Around Corner,
4,8,,,,,,"4
4
XXX-
XOXK
XVLT
--A-","LOK
TA",,Full donut,
4,9,,,,,,"6
4
TXOK--
LEGXLT
-XAX--
-K-A--","TLAK
LOK
TA",,Amogus let,
4,10,,,,,,"5
5
TXLT-
L#--A
O#--#
KXAK#
XOLKX","LOK
LOK
TLAK
TA",,Square moon,
4,11,*,,,,,"7
6
--TTK--
--LL#--
FAXXXOK
---Z#--
---AO--
---KL--","LOK
TA
TLAK
LOK",,Faxxxok,
4,12,*,,,,,"6
6
----T-
--TKXS
LXLAXM
KXOAXR
MXNA--
-T----","TA
TLAK
LOK
TA",,Sandbox,
4,13,*,,,,,"7
8
-T-----
-L-----
X#T#KT-
##A#BF-
XTA#LXA
-##X#OX
-X###KX
---X#X-","LOK
TA
TLAK
TA",,Adventure,
,,,,,,,,,,,
5,1,,,BE1_TEXT,,,"3
2
BE#
L#K","BE
LOK",,Tutorial,
5,2,,,,,,"4
4
---A
-BEK
-EB#
TTL#","BE
BE
LOK
TA",,Be x,
5,3,,,,,,"6
3
--BE--
LEE##K
---##-","BE
BE
BE
LOK",,Be chain,
5,4,,,,,,"3
5
-A-
TE#
EBA
A#L
LOK","BE
BE
TA
LOK",,Block,
5,5,,,,,,"8
5
---#----
--#E#---
KEABLAT#
-B---T#-
-----#--","BE
BE
TA
TLAK",,Protect from TA,HU
5,6,,,,,,"6
4
-A----
-ST---
B#LSTE
#XXOAK","TA
LOK
BE
TA",,Be for TA,
5,7,,,,,,"8
6
L-------
A-K-----
O-A-K---
A-O-A-B-
XLXO#LEK
----T---","BE
TA
LOK
LOK
LOK",,Teeth,
5,8,,Looped ?,,,,"6
3
XTLAKX
#BEEB#
XKALTX","BE
BE
TA
TA
TA",,(Raindrinker) Packed,
5,9,,,,,,"4
5
T##A
X#L-
ORA-
BE#-
XKXE","BE
BE
TA
LOK
TA",,Reacharound,RG
5,10,,*,,,,"6
5
#####-
-BLEE-
-BOE--
-BK#E#
---B--","LOK
BE
BE
BE
BE
BE
LOK",,Lots of Bes,
5,11,*,,,,,"4
4
#XLK
#O#A
BXKL
E--T","BE
LOK
LOK
TA",,Loktlak crisscross,
5,12,*,,,,,"7
5
##EE###
TE#PBB#
T######
BBE#OKB
---E---","BE
BE
LOK
BE
BE
BE
TA
TA",,Factory,
,,,,,,,,,,,
6,1,,,GAPS1_TEXT,,,"4
5
TLX-
--X-
LOX-
--XX
-KAX","LOK
TA",,Hidden in plain site,
6,2,,,,,,"7
2
A#-#BET
TL#K--V","BE
TLAK
TA",,TLAK can jump over,VZ
6,3,,,,,,"4
4
#X#X
XLX-
T-A-
BEKX","BE
LOK
TA",,Cheeky Xs,
6,4,,,,,,"5
5
L-#-K
-B-E-
K-O-O
-T-A-
X-X-X","BE
LOK
LOK
TA",,Easy Checkerboard,
6,5,,,,,,"5
5
TTUSX
L---A
X---X
K---A
XOKLK","TLAK
LOK
TA",,Square,
6,6,,,,,,"5
5
TLXBK
B---O
X-#-X
M---K
XOLEA","BE
LOK
LOK
TA",,Square Dot,
6,7,,*,,,,"5
5
-E-XX
#BXBO
F-L-X
EA-KX
--X#-","BE
LOK
BE
TA",,Square Evolved,FC
6,8,,,,,,"5
6
#LBX-
---E-
#--TT
---##
L---A
XOKAK","LOK
BE
TLAK
TA",,Looooop,
6,9,,,,,,"7
7
XL---TX
A-----T
-X--LXT
K-ALK--
X----X-
-L----A
-X-A-KX","TLAK
TLAK
TA",,Robot,
6,10,,,,,,"5
5
TL-AK
XA-K#
--#--
XL-TE
LZ-BX","TLAK
BE
LOK
TA",,Unreachable,ZP
6,11,*,,,,,"7
7
#K-B-X-
E-A-L-X
-T-U-K-
B-U-U-B
-T-E-A-
X-O-E-#
-X-L-#-","BE
BE
LOK
BE
TLAK
TA",,Checkerboard,UM
6,12,*,,,,,"7
7
-X--X#X
----NBO
----BDK
KE#X---
PENL---
KOLT--T
ABLE-#-","LOK
BE
BE
LOK
BE
TLAK
TA",,Woah hard 2,PN
,,,,,,,,,,,
7,1,,,BE1_TEXT,,,"8
7
-------#
------#-
LOLO-#--
----#---
---#----
--#-----
-#------",LOLO,,Intro,
7,2,,,,,,"6
6
-L###N
-O##--
-L#R--
-TA---
-O----
G-----","TA
LOLO",,Intro 2,
7,3,,,,,,"6
5
-X##TK
AL#-T#
-OL-OL
-A#--A
-K#TLX","LOLO
TLAK
TLAK
TA",,Apply,
7,4,,,,,,"7
6
-#-L-#-
---T---
OKOXLAK
---L---
-#-O-#-
---L---","TLAK
LOK
LOLO",,Cross,
7,5,,,,,,"5
3
----A
XLX-#
XOX#T","LOLO
TA",,LOLO Loop Intro,
7,6,,,,,,"5
4
A#-#T
-L#--
-XOX-
LOLXK","LOK
LOLO
TA",,LOL - O,
7,7,,,,,,"4
5
-B#-
E#LA
EEOS
BX#T
-OB-","BE
BE
BE
LOLO
TA",,Create a LOLO,SQ
7,8,,,,,,"6
8
XLXOXA
O-L-L-
XLXOX-
O-O-#-
XLX##-
----#-
----#-
----T-","LOLO
LOLO
LOLO
LOLO
TA",,Loops Loops,
7,9,*,*,,,,"5
7
XTLOX
LXAKX
#OAA#
LKA#-
XX#T-
-----
#----","LOK
TLAK
LOLO
TA",,City Streets,
7,10,*,,,,,"8
10
T-------
#O-EZ-KX
L------O
B--J-G--
L-Y-V--K
T-V-J--L
T---Y--A
T------L
XLAK-A-X
-------A","TLAK
TA
TLAK
LOK
BE
LOLO
TA",,The Big One,JY
7,11,*,,,,,"6
7
-LOLO-
BKTOLE
LOLRZK
KO#SXT
TTLBKE
HFDOAF
A#LFK-","LOLO
BE
LOK
TLAK
LOK
LOK
BE
TA
TA",,Brick Wall,FD
,,,,,,,,,,,
8,1,,,,,,"3
2
L?K
#--",LOK,,? Intro,
8,2,,,,,,"5
4
--TR?
--LRR
AS?ZT
--K--","TLAK
TA",,? Tlak,RZ
8,3,,,,,,"5
1
#???K","BE
TA",,Magic line,
8,4,,,,,,"8
5
?-------
-?-P----
--J-----
-----A--
---KATLT","TA
TLAK",,Gs and Js,JP
8,5,,,,,,"7
3
L------
?OKFLAK
-----CH","LOK
TLAK",,First ? conductor,
8,6,,,,,,"7
4
---A---
--X-X--
TLT--AK
---?XZ-","TA
TLAK",,Don't TA,ZU
8,7,,*,,,,"6
5
---T--
---L--
--FAH-
LOK?KO
--B---","TLAK
LOLO",,LOLO ?,FH
8,8,,,,,,"4
6
---L
--JO
-JL#
JBEO
-J-K
---O","BE
LOK
LOLO",,First ? BE,JF
8,9,,,,,,"7
4
---T---
VCL#ELG
KOD?BOK
---K---","BE
LOK
LOK
TLAK",,Double reuse,CD
8,10,,,,,,"5
3
-O#--
-LO-?
##E?X","BE
LOLO
TA",,Careful with BE,
8,11,,,,,,"7
8
---?---
-----?-
-?-----
--?----
----?--
------?
?------
--?----",TA,,TA a ? with ?,
8,12,,Looped ?,,,,"3
3
X#X
BE-
X-X","BE
TA",,First ? Loop,
8,13,,Looped ?,,,,"3
4
X?X
-Z-
X?X
-S-","TLAK
TA",,? Loooop,ZS
8,14,,Looped ?,,,,"5
5
-X?XV
-U-PC
-X?X-
-X-X-
GX?X-","LOLO
TLAK
TA",,? Loop Loop,PC
8,15,,Looped ?,,,,"6
4
BUTYKE
-XXXX-
-#--?-
-XXXX-","TLAK
BE
TA",,BUTYKE,UY
8,16,,Looped ?,,,,"3
6
-A-
DSV
LRK
X?X
X?X
-T-","TLAK
LOLO
TA",,Rocket Ship,DS
8,17,*,,,,,"7
7
----#LX
---#T-A
---#XKX
X#??---
#--O---
---K---
X-BX---","BE
LOK
BE
TLAK
TA",,Spin Around,
8,18,*,,,,,"8
8
-----?--
-----??-
---T-???
-M--U---
---I----
#L#-----
#-O-?---
###-----","BE
BE
BE
BE
LOLO
TA
TA",,Arrow,MU
,,,,,,,,,,,
9,1,,Looped ?,GRIVA1_TEXT,,,"4
7
E---
B#K#
BAZE
B#EM
BLSE
B#E#
LTOK","BE
BE
BE
TLAK
LOK
BE
BE
GRIVA",,The Final Countdown,
,,,,,,,,,,,
10,1,,,,,,"3
1
L**O*K**","LOK
LOK",,LOKonion,
10,2,,,,,,"4
4
-T*--
TL**AK*
-A*--
-K--","TLAK
TLAK",,TLAKonion,
10,3,,,,,,"4
5
--K-
-LO-
LOK***S
KOOL
-KL-","LOK
LOK
LOK
LOK",,Even more LOKonions,
10,4,,,,,,"4
1
T****L*****A*****K***","TLAK
TLAK
TLAK
TA",,First TA,
10,5,,,,,,"6
5
--K---
--A*---
KTA*A*LT
--T*---
--K---","TA
TLAK
TA",,KTAALT,
10,6,,,,,,"5
3
T***A****L****O*****K****
E*IE*UM
LEM*IM","LOK
LOK
LOK
LOK
LOK
TA
TA
TA
TA",,Talok,
10,8,,,,,,"3
5
-T-
XT*X
O*U***L***
K***A***X
-A-","TLAK
TLAK
LOK
LOK
TA",,First Onion X,
10,7,,,,,,"5
6
--L--
--O-A
LOXAX*
--L-K
KTX*KX
--T--","TLAK
LOK
LOK
TA",,Hashy,
10,9,*,,,,,"6
5
--XK*L-
-XAXA*K*
LLO#***O*K
-XTXL*T*
--XXK-","TLAK
LOK
TLAK
TA
LOK
LOK",,Brick Wall,
10,10,*,*,,,,"5
7
XT*XTX
T#**O#*A
XLXAX
-#*K#*L
-XKX#
-L*#*O#
-XA*XK*","TA
LOK
TLAK
TLAK
LOK
TA",,Onion Tower,
,,,,,,,,,,,
11,1,,,BE1_TEXT,,,"3
2
ABA
LOK","ABA
LOK",,ABA Intro,
11,2,,,,,,"6
5
--L---
--O---
A#KBA#
--O---
--L---","LOK
ABA
LOK",,ABA can unblack,
11,3,,,,,,"4
5
TLAX
---A
T--B
XKAX
---A","ABA
TLAK
TA",,Save the X beforehand,
11,4,,,,,,"8
3
---XX---
TLAB*A*BAK
---XX---","ABA
ABA
ABA
TLAK
TA",,ABA Loops,
11,5,,,,,,"4
4
XXAX
LXAK
XXBX
TABX","TLAK
ABA
ABA
TA",,Double Whammy,
11,6,,,,,,"5
4
O-TLX
LKALX
ABA--
XOL--","ABA
LOLO
TLAK",,Save the A beforehand,
11,7,,,,,,"5
3
AAXXX
--B##
EEXXX","BE
ABA
BE
TA",,Trainstation,
11,8,,*,,,,"4
6
T---
FXBX
VAIA
TLAK
RXOX
A---","TLAK
ABA
LOLO
TA",,LOLABA,
11,9,*,,,,,"5
7
X---X
-EKB-
-AXTX
-HTE-
-T##-
-KBA-
X-X--","TA
BE
BE
TA
ABA
TA",,TA Spinaround,HS
11,10,*,,,,,"4
6
-IM-
TNAK
XBA*X
X--X
XL*OX
TU--","ABA
LOLO
TLAK
TA",,Precise ABA operation,MN
,,,,,,,,,,,
12,1,,,ARROWS_TEXT,,,"3
3
--v
-vK
LO-",LOK,,Arrows intro,
12,2,,,,,,"7
3
--v----
TRL<AFK
^^--^-^",TLAK,,Build a TLAK,
12,3,,,,,,"7
3
>#E#L----
--AB*BAO
#>EK----","BE
BE
ABA
LOK",,(Raindrinker) Double piston,
12,4,,,,,,"6
5
-K----
->>vL-
>^vO-^
--^P<-
--^---",LOK,,Build a LOK,
12,5,,,,,,"3
2
?****K-
LO-",LOK,,(Raindrinker) Sokoban Intro,
12,6,,,,,,"4
4
--A#
-AB*E
--AT
X---","ABA
BE
TA",,Be a path,
12,7,,,,,,"3
3
L-A
T?****K
XGX","LOK
TA",,Sokoban 2,
12,8,*,,,,,"11
5
-----T-----
-----K----A
S---BOK---Z
-X>#>X<#<T-
X-A-E-X-L-X","BE
LOK
TLAK
TA",,Slide left right,SZ
12,9,*,*,,,,"6
5
KONEOL
-L>---
->?<OX
-X^--X
B-T---","LOLO
LOK
TA",,Build a LOLO,
12,10,*,,,,,"5
6
--OM-
-AL-X
--B--
X-?*******L-
NOX-X
X----","ABA
LOLO
TA",,Sokoban finale,MN
,,,,,,,,,,,
13,1,,,,,,"3
3
###
#-#
-##
&
O
L
%
2/1
---
XK
%
2/5",LOK,,Simple first,
13,2,,,,,,"4
5
###-
-###
####
-###
###-
&
OLF#
%
4/-2
---
AGR
%
0/1
---
LKT
%
0/3
---
KTA
%
0/5","LOK
TLAK
TA",,Cookie,
13,3,,,,,,"5
6
---##
--###
-####
#####
#----
#----
&
XO
X-
L-
%
2/-1
---
TS
-X
-A
%
8/-1
---
-M
-X
LX
%
8/3
---
X
%
5/5","LOLO
TA",,Staircase,
13,4,,,,,,"5
5
-#-#-
#####
-#-#-
#####
-#-#-
&
R
B
E
%
1/-1
---
A
K
S
%
9/0
---
#A
%
0/4
---
TTL
%
0/6","BE
TLAK
TA",,Hashtag,RS
13,5,,,,,,"4
4
####
####
####
####
&
LC
JA
%
0/0
---
ON
SL
%
0/4
---
XO
LT
%
9/1
---
ZK
OX
%
9/4","LOLO
LOK
TA",,Square,
13,6,,*,,,,"5
5
####-
####-
#####
####-
####-
&
UA
%
0/-1
---
U
A
%
8/0
---
LT
TL
%
0/2
---
OK
%
0/5
---
-K
OO
%
8/4","TLAK
TA
LOK",,Da Puzzo,
13,7,*,Looped ?,,,,"5
5
--#--
-###-
#####
-###-
--#--
&
X
%
0/3
---
A
%
0/6
---
S
%
2/5
---
--X
-??
TX-
%
0/0
---
--J
-HX
CM-
%
7/4","LOLO
TLAK
TA",,?s,JH
13,8,*,*,,,,"6
5
--####
######
--##-#
--##-#
######
&
OLX
-##
--K
%
-1/-2
---
ALT
-OX
--L
%
-1/3
---
--#
LOX
%
7/6
---
X
%
1/7
---
XKO
%
3/7","LOK
LOK
LOLO
TA",,Previously 7-9,
,,,,,,,,,,,
14,1,,,CLOUDS_TEXT,,,"4
4
---#
-#W-
W-#-
-W--",W,,Intro,
14,2,,,,,,"4
3
-W#W
W#W#
KOL-","LOK
W",,First LOK clouds,
14,3,,,,,,"6
4
--WT--
WXWLOK
-KAX--
-XWL--","TLAK
LOK
W",,Presto,
14,4,,,,,,"3
3
-V-
B#E
#W-","W
BE
W",,BE a W,
14,5,,,,,,"4
4
W-KX
-W#A
B#EL
WETX","TLAK
W
BE
W",,Be a W advanced,
14,6,,,,,,"6
5
--WW--
WXVLXW
-OW-R-
-PS-O-
-LK**O**L**-","LOK
LOK
W
LOLO
LOK",,The Tower,
14,7,,*,,,,"5
5
-T#A-
XKROX
A*RB*RA*
XW*LW*X
-WWW-","W
ABA
W
ABA
LOK
TA",,W OLKO,
14,8,*,,,,,"5
5
X-#-X
-BE#O
##EW-
--B#W
XW-LX","W
BE
LOLO
W
BE
W",,Be a W ultimate,
14,9,*,,,,,"6
7
-S-?--
?-CDS-
S--N-?
-?W**W*--
FHW**W**-S
JM--P-
-S-?QR","W
W
W
W
TA",,? The Pattern,
